iter	RMSE
0	0.6741838581
1	0.657953038
2	0.6431518647
3	0.6292947547
4	0.6166106163
5	0.6048338236
6	0.5940959529
7	0.5839933234
8	0.5746424176
9	0.5659829424
10	0.5578959931
11	0.5504336332
12	0.5437238883
13	0.5372234779
14	0.5311817425
15	0.5257656934
16	0.520505655
17	0.5158712917
18	0.5116829226
19	0.5079310198
20	0.5042694124
21	0.5008267899
22	0.497785209
23	0.4951940399
24	0.4925017373
25	0.4899611088
26	0.4873299161
27	0.4851916545
28	0.4830991406
29	0.4812827478
30	0.4796027282
31	0.4778449646
32	0.4763590465
33	0.4748176459
34	0.4734557048
35	0.4721397294
36	0.4710557083
37	0.4696650963
38	0.4683749299
39	0.4672815784
40	0.4663104236
41	0.4654899945
42	0.4646938328
43	0.4637793281
44	0.4629040974
45	0.4622384906
46	0.461560891
47	0.4608721316
48	0.4601928878
49	0.4596704195
50	0.4590351532
51	0.4585057005
52	0.45791144
53	0.4575465695
54	0.457058392
55	0.4565385762
56	0.4559903672
57	0.4555735634
58	0.4551717579
59	0.4546954127
60	0.4542683099
61	0.4537589166
62	0.4533206208
63	0.4529640154
64	0.4525802274
65	0.4522335492
66	0.4519062891
67	0.4514782138
68	0.451150292
69	0.4508505417
70	0.4505025573
71	0.450100996
72	0.4498681358
73	0.4495119483
74	0.449232281
75	0.4488797238
76	0.4486781379
77	0.4483850627
78	0.4481685883
79	0.4479954888
80	0.4477043468
81	0.4474321451
82	0.4471315216
83	0.4468666095
84	0.4467469876
85	0.4464960895
86	0.4462895782
87	0.4460522497
88	0.4458783964
89	0.4456303119
90	0.44536526
91	0.4452446439
92	0.4450494755
93	0.4448564103
94	0.4446606545
95	0.4444918219
96	0.4442455667
97	0.444060104
98	0.4438978451
99	0.4437525726
100	0.4436370177
101	0.4434236664
102	0.4432462144
103	0.4430944269
104	0.4429006305
105	0.4426941616
106	0.4425310313
107	0.4423879594
108	0.4421549787
109	0.4420336834
110	0.4419301092
111	0.4417851644
112	0.4416607553
113	0.4415398875
114	0.4414599599
115	0.441320381
116	0.4411436608
117	0.4410238107
118	0.4408332605
119	0.4407408758
120	0.4406220557
121	0.4405285297
122	0.4404378192
123	0.4403495485
124	0.440242372
125	0.4401265866
126	0.4400248651
127	0.4399133755
128	0.4398401719
129	0.4397494007
130	0.4396347667
131	0.4395282027
132	0.4394529926
133	0.4393996022
134	0.4392895152
135	0.43916517
136	0.4390932799
137	0.4389778131
138	0.4388978257
139	0.4388199432
140	0.4387523806
141	0.4385822955
142	0.4385351161
143	0.4384347188
144	0.4383668781
145	0.4382426937
146	0.4380620368
147	0.4379676981
148	0.4379083537
149	0.4377927249
150	0.4377126639
151	0.4375896442
152	0.4375048314
153	0.4374350238
154	0.4373310691
155	0.4372687498
156	0.43715126
157	0.4370836089
158	0.4370145014
159	0.4369676495
160	0.4368492532
161	0.4367796582
162	0.4366939249
163	0.4365258133
164	0.4364682193
165	0.436398374
166	0.436303538
167	0.436198074
168	0.4361034763
169	0.4360416454
170	0.4359975048
171	0.4359343339
172	0.4358011538
173	0.4357129848
174	0.4356569869
175	0.4355638677
176	0.435490813
177	0.435424112
178	0.4353085706
179	0.4351914054
180	0.4351226952
181	0.435033094
182	0.434954151
183	0.4348580919
184	0.4347847581
185	0.4346642905
186	0.4345781476
187	0.4345230476
188	0.4344286732
189	0.4343823071
190	0.4343210566
191	0.4342841619
192	0.4342236345
193	0.4341733034
194	0.4341184962
195	0.4339780358
196	0.4338960731
197	0.4338595616
198	0.4337889047
199	0.4337272876
200	0.4336724811
201	0.4336024944
202	0.4334926971
203	0.4334480421
204	0.4333696259
205	0.4333010293
206	0.4332467333
207	0.4331809941
208	0.4331110845
209	0.4330293728
210	0.4329918004
211	0.4329282281
212	0.4328573617
213	0.432773398
214	0.4327442276
215	0.4326657662
216	0.4325950082
217	0.4325527786
218	0.4324966128
219	0.4324356052
220	0.4323750019
221	0.4323262734
222	0.4322575572
223	0.4322145917
224	0.4321487167
225	0.4320841154
226	0.4320200577
227	0.4319508821
228	0.4319089576
229	0.4318315944
230	0.4317476615
231	0.4316934344
232	0.4316696113
233	0.4315899695
234	0.4315474231
235	0.4314696414
236	0.4314190607
237	0.4313551896
