iter	Passed	Remaining
0	162	81221
1	172	42928
2	180	29932
3	189	23486
4	198	19609
5	207	17097
6	215	15197
7	225	13890
8	235	12825
9	246	12054
10	254	11327
11	264	10738
12	271	10187
13	279	9718
14	289	9351
15	297	8995
16	305	8671
17	315	8438
18	323	8185
19	332	7980
20	340	7761
21	347	7558
22	355	7382
23	362	7199
24	370	7037
25	377	6874
26	384	6735
27	392	6608
28	399	6494
29	407	6390
30	415	6286
31	423	6191
32	430	6091
33	438	6013
34	446	5929
35	453	5845
36	461	5771
37	467	5689
38	475	5625
39	483	5555
40	489	5482
41	497	5421
42	504	5362
43	511	5304
44	518	5242
45	525	5184
46	533	5137
47	539	5083
48	547	5042
49	555	4998
50	562	4951
51	568	4900
52	576	4862
53	584	4824
54	591	4788
55	598	4744
56	605	4708
57	612	4670
58	619	4632
59	626	4592
60	639	4602
61	648	4579
62	657	4561
63	666	4539
64	674	4512
65	681	4479
66	688	4451
67	695	4420
68	702	4385
69	709	4356
70	716	4329
71	723	4298
72	729	4269
73	736	4241
74	744	4218
75	750	4189
76	758	4164
77	765	4142
78	772	4116
79	779	4094
80	787	4071
81	794	4048
82	800	4023
83	808	4001
84	814	3977
85	822	3959
86	830	3943
87	838	3926
88	846	3907
89	853	3887
90	860	3867
91	867	3846
92	874	3826
93	881	3806
94	888	3786
95	895	3767
96	902	3751
97	910	3734
98	929	3764
99	937	3748
100	945	3735
101	955	3727
102	963	3715
103	972	3702
104	980	3688
105	988	3674
106	996	3659
107	1005	3648
108	1012	3632
109	1020	3619
110	1028	3604
111	1036	3592
112	1044	3577
113	1052	3564
114	1060	3549
115	1068	3535
116	1075	3519
117	1081	3502
118	1088	3485
119	1095	3469
120	1103	3455
121	1109	3439
122	1116	3422
123	1123	3405
124	1130	3390
125	1137	3375
126	1144	3362
127	1152	3348
128	1159	3335
129	1166	3321
130	1173	3306
131	1181	3292
132	1187	3277
133	1194	3262
134	1201	3247
135	1207	3232
136	1214	3217
137	1221	3203
138	1228	3189
139	1235	3176
140	1242	3163
141	1249	3150
142	1256	3136
143	1264	3125
144	1271	3111
145	1277	3097
146	1284	3084
147	1292	3073
148	1298	3059
149	1305	3047
150	1313	3035
151	1320	3023
152	1327	3010
153	1334	2998
154	1341	2986
155	1348	2973
156	1354	2959
157	1361	2947
158	1369	2936
159	1375	2923
160	1382	2911
161	1389	2899
162	1397	2888
163	1403	2875
164	1410	2863
165	1417	2851
166	1424	2840
167	1431	2828
168	1437	2816
169	1444	2803
170	1451	2792
171	1458	2780
172	1464	2768
173	1472	2758
174	1479	2747
175	1486	2736
176	1493	2725
177	1500	2713
178	1507	2703
179	1514	2692
180	1520	2680
181	1527	2669
182	1534	2657
183	1541	2647
184	1548	2636
185	1556	2626
186	1564	2618
187	1571	2607
188	1578	2596
189	1584	2585
190	1591	2575
191	1598	2564
192	1605	2554
193	1612	2543
194	1619	2532
195	1625	2521
196	1632	2510
197	1639	2499
198	1645	2489
199	1652	2479
200	1659	2468
201	1666	2458
202	1674	2449
203	1681	2439
204	1689	2430
205	1696	2420
206	1702	2410
207	1709	2399
208	1716	2389
209	1723	2379
210	1729	2369
211	1736	2358
212	1743	2348
213	1749	2338
214	1756	2328
215	1763	2318
216	1770	2308
217	1777	2299
218	1784	2289
219	1791	2279
220	1798	2270
221	1805	2260
222	1814	2253
223	1821	2244
224	1828	2234
225	1835	2225
226	1843	2217
227	1850	2207
228	1857	2198
229	1864	2188
230	1871	2179
231	1878	2170
232	1884	2159
233	1891	2150
234	1898	2140
235	1905	2131
236	1912	2121
237	1919	2112
238	1925	2103
239	1932	2093
240	1939	2084
241	1946	2074
242	1953	2066
243	1960	2056
244	1967	2047
245	1974	2038
246	1981	2029
247	1987	2020
248	1994	2010
249	2001	2001
250	2008	1992
251	2014	1982
252	2021	1973
253	2027	1964
254	2034	1954
255	2041	1945
256	2047	1936
257	2055	1927
258	2061	1918
259	2069	1909
260	2075	1900
261	2081	1891
262	2088	1882
263	2095	1873
264	2102	1864
265	2109	1855
266	2116	1847
267	2123	1838
268	2130	1829
269	2137	1820
270	2143	1811
271	2150	1802
272	2156	1793
273	2163	1784
274	2171	1776
275	2177	1767
276	2184	1758
277	2191	1750
278	2198	1741
279	2204	1732
280	2211	1723
281	2217	1714
282	2224	1706
283	2231	1697
284	2238	1688
285	2244	1679
286	2250	1670
287	2257	1661
288	2263	1652
289	2270	1644
290	2277	1635
291	2284	1627
292	2291	1618
293	2298	1610
294	2304	1601
295	2311	1592
296	2317	1584
297	2324	1575
298	2331	1567
299	2338	1558
300	2345	1550
301	2352	1542
302	2359	1533
303	2366	1525
304	2372	1517
305	2380	1508
306	2387	1500
307	2394	1492
308	2400	1484
309	2407	1475
310	2413	1466
311	2420	1458
312	2426	1449
313	2433	1441
314	2439	1432
315	2446	1424
316	2452	1415
317	2459	1407
318	2466	1399
319	2473	1391
320	2480	1383
321	2487	1375
322	2494	1367
323	2501	1358
324	2508	1350
325	2514	1342
326	2520	1333
327	2528	1325
328	2535	1317
329	2541	1309
330	2548	1301
331	2555	1293
332	2562	1285
333	2569	1276
334	2575	1268
335	2582	1260
336	2589	1252
337	2596	1244
338	2603	1236
339	2610	1228
340	2617	1220
341	2624	1212
342	2630	1204
343	2637	1195
344	2643	1187
345	2650	1179
346	2657	1171
347	2664	1163
348	2671	1155
349	2677	1147
350	2684	1139
351	2691	1131
352	2697	1123
353	2704	1115
354	2711	1107
355	2718	1099
356	2724	1091
357	2731	1083
358	2738	1075
359	2745	1067
360	2752	1059
361	2759	1051
362	2765	1043
363	2772	1035
364	2778	1027
365	2786	1020
366	2792	1012
367	2798	1003
368	2805	996
369	2813	988
370	2820	980
371	2827	972
372	2833	964
373	2840	956
374	2846	948
375	2853	940
376	2860	933
377	2867	925
378	2873	917
379	2880	909
380	2887	901
381	2894	894
382	2901	886
383	2907	878
384	2914	870
385	2922	863
386	2928	855
387	2935	847
388	2942	839
389	2949	831
390	2955	823
391	2963	816
392	2969	808
393	2976	800
394	2983	792
395	2989	785
396	2996	777
397	3003	769
398	3009	761
399	3016	754
400	3024	746
401	3031	739
402	3037	731
403	3044	723
404	3052	715
405	3058	708
406	3065	700
407	3072	692
408	3079	685
409	3086	677
410	3093	669
411	3100	662
412	3107	654
413	3114	646
414	3121	639
415	3129	631
416	3136	624
417	3143	616
418	3150	609
419	3157	601
420	3164	593
421	3170	586
422	3177	578
423	3184	570
424	3190	563
425	3197	555
426	3204	547
427	3211	540
428	3218	532
429	3226	525
430	3232	517
431	3238	509
432	3246	502
433	3252	494
434	3259	487
435	3266	479
436	3273	471
437	3280	464
438	3286	456
439	3292	449
440	3299	441
441	3307	433
442	3313	426
443	3319	418
444	3327	411
445	3333	403
446	3340	396
447	3346	388
448	3354	381
449	3361	373
450	3368	365
451	3375	358
452	3382	350
453	3388	343
454	3394	335
455	3401	328
456	3408	320
457	3415	313
458	3422	305
459	3429	298
460	3435	290
461	3442	283
462	3449	275
463	3456	268
464	3463	260
465	3469	253
